CL:0000000	cell
UBERON:0003462	facial bone
UBERON:0003463	trunk bone
UBERON:0003464	hindlimb bone
UBERON:0003466	forelimb zeugopod bone
UBERON:0003467	sesamoid bone of gastrocnemius
UBERON:0003468	ureteric segment of renal artery
UBERON:0003469	respiratory system artery
UBERON:0003470	artery of upper lip
UBERON:0003471	artery of lower lip
UBERON:0003472	cerebellar artery
UBERON:0003473	thoracic cavity artery
UBERON:0003474	meningeal artery
UBERON:0003475	ureteric vein
UBERON:0003476	respiratory system venous blood vessel
UBERON:0003477	vein of upper lip
UBERON:0003478	vein of lower lip
UBERON:0003479	thoracic cavity vein
UBERON:0003480	vein of clitoris
UBERON:0003481	tail vein
UBERON:0003482	vein of trabecular bone
UBERON:0003483	thymus lymphoid tissue
UBERON:0003484	eye sebaceous gland
UBERON:0003485	vagina sebaceous gland
UBERON:0003487	skin sebaceous gland
UBERON:0003488	abdominal mammary gland
UBERON:0003489	respiratory system capillary endothelium
UBERON:0003490	respiratory system reticular lamina
UBERON:0003492	bronchus reticular lamina
UBERON:0003493	trachea reticular lamina
UBERON:0003494	respiratory system venule
UBERON:0003495	respiratory system arteriole
UBERON:0003496	head blood vessel
UBERON:0003497	abdomen blood vessel
UBERON:0003498	heart blood vessel
UBERON:0003499	brain blood vessel
UBERON:0003500	corneal blood vessel
UBERON:0003501	retina blood vessel
UBERON:0003502	neck blood vessel
UBERON:0003503	leg blood vessel
UBERON:0003504	respiratory system blood vessel
UBERON:0003505	trachea blood vessel
UBERON:0003506	chest blood vessel
UBERON:0003507	arm blood vessel
UBERON:0003508	pedal digit blood vessel
UBERON:0003509	arterial blood vessel
UBERON:0003510	eyelid blood vessel
UBERON:0003511	iris blood vessel
UBERON:0003512	lung blood vessel
UBERON:0003513	trunk blood vessel
UBERON:0003514	limb blood vessel
UBERON:0003515	forelimb blood vessel
UBERON:0003516	hindlimb blood vessel
UBERON:0003517	kidney blood vessel
UBERON:0003518	main bronchus blood vessel
UBERON:0003519	thoracic cavity blood vessel
UBERON:0003520	pelvis blood vessel
UBERON:0003521	pes blood vessel
UBERON:0003522	manual digit blood vessel
UBERON:0003523	manus blood vessel
UBERON:0003524	tail blood vessel
UBERON:0003526	respiratory system capillary
UBERON:0003527	kidney capillary
UBERON:0003528	brain gray matter
UBERON:0003529	respiratory system lymphatic vessel endothelium
UBERON:0003530	pedal digit skin
UBERON:0003531	forelimb skin
UBERON:0003532	hindlimb skin
UBERON:0003533	manual digit skin
UBERON:0003534	tail skin
UBERON:0003535	vagus X nerve trunk
UBERON:0003536	right lung alveolar duct
UBERON:0003537	left lung alveolar duct
UBERON:0003538	right lung bronchiole
UBERON:0003539	left lung bronchiole
UBERON:0003540	right lung terminal bronchiole
UBERON:0003541	left lung terminal bronchiole
UBERON:0003542	right lung respiratory bronchiole
UBERON:0003543	left lung respiratory bronchiole
UBERON:0003544	brain white matter
UBERON:0003546	distal convoluted tubule macula densa
UBERON:0003547	brain meninx
UBERON:0003548	forebrain meninges
UBERON:0003549	brain pia mater
UBERON:0003550	forebrain pia mater
UBERON:0003551	midbrain pia mater
UBERON:0003552	telencephalon pia mater
UBERON:0003553	diencephalon pia mater
UBERON:0003554	hindbrain pia mater
UBERON:0003555	spinal cord pia mater
UBERON:0003556	forebrain arachnoid mater
UBERON:0003557	midbrain arachnoid mater
UBERON:0003558	diencephalon arachnoid mater
UBERON:0003559	hindbrain arachnoid mater
UBERON:0003560	spinal cord arachnoid mater
UBERON:0003561	forebrain dura mater
UBERON:0003562	midbrain dura mater
UBERON:0003563	telencephalon dura mater
UBERON:0003564	diencephalon dura mater
UBERON:0003565	hindbrain dura mater
UBERON:0003566	head connective tissue
UBERON:0003567	abdomen connective tissue
UBERON:0003568	neck connective tissue
UBERON:0003569	leg connective tissue
UBERON:0003570	respiratory system connective tissue
UBERON:0003571	trachea connective tissue
UBERON:0003572	chest connective tissue
UBERON:0003573	arm connective tissue
UBERON:0003574	elbow connective tissue
UBERON:0003575	wrist connective tissue
UBERON:0003576	hip connective tissue
UBERON:0003577	knee connective tissue
UBERON:0003578	pedal digit connective tissue
UBERON:0003579	shoulder connective tissue
UBERON:0003580	lower respiratory tract connective tissue
UBERON:0003581	eyelid connective tissue
UBERON:0003582	nasopharynx connective tissue
UBERON:0003583	larynx connective tissue
UBERON:0003584	mammary gland connective tissue
UBERON:0003585	dermis connective tissue
UBERON:0003586	trunk connective tissue
UBERON:0003587	limb connective tissue
UBERON:0003588	forelimb connective tissue
UBERON:0003589	hindlimb connective tissue
UBERON:0003590	main bronchus connective tissue
UBERON:0003591	lobar bronchus connective tissue
UBERON:0003592	bronchus connective tissue
UBERON:0003593	thoracic cavity connective tissue
UBERON:0003594	pelvis connective tissue
UBERON:0003595	pes connective tissue
UBERON:0003596	ankle connective tissue
UBERON:0003597	manual digit connective tissue
UBERON:0003598	manus connective tissue
UBERON:0003599	tail connective tissue
UBERON:0003601	neck cartilage
UBERON:0003603	lower respiratory tract cartilage
UBERON:0003604	trachea cartilage
UBERON:0003605	eye skin gland
UBERON:0003606	limb long bone
UBERON:0003607	forelimb long bone
UBERON:0003608	hindlimb long bone
UBERON:0003609	aorta elastic tissue
UBERON:0003610	heart elastic tissue
UBERON:0003611	respiratory system elastic tissue
UBERON:0003613	cardiovascular system elastic tissue
UBERON:0003614	blood vessel elastic tissue
UBERON:0003615	lung elastic tissue
UBERON:0003616	bronchus elastic tissue
UBERON:0003617	trachea elastic tissue
UBERON:0003618	aorta tunica media
UBERON:0003619	aorta tunica intima
UBERON:0003620	manual digit 1 phalanx
UBERON:0003622	manual digit 2
UBERON:0003623	manual digit 3
UBERON:0003624	manual digit 4
UBERON:0003625	manual digit 5
UBERON:0003631	pedal digit 1
UBERON:0003632	pedal digit 2
UBERON:0003633	pedal digit 3
UBERON:0003634	pedal digit 4
UBERON:0003635	pedal digit 5
UBERON:0003636	manual digit 2 phalanx
UBERON:0003637	manual digit 3 phalanx
UBERON:0003638	manual digit 4 phalanx
UBERON:0003639	manual digit 5 phalanx
UBERON:0003640	pedal digit 1 phalanx
UBERON:0003641	pedal digit 2 phalanx
UBERON:0003642	pedal digit 3 phalanx
UBERON:0003643	respiratory system arterial blood vessel
UBERON:0003644	kidney arterial blood vessel
UBERON:0003645	metacarpal bone of digit 1
UBERON:0003646	metacarpal bone of digit 2
UBERON:0003647	metacarpal bone of digit 3
UBERON:0003648	metacarpal bone of digit 4
UBERON:0003649	metacarpal bone of digit 5
UBERON:0003650	metatarsal bone of digit 1
UBERON:0003651	metatarsal bone of digit 2
UBERON:0003652	metatarsal bone of digit 3
UBERON:0003653	metatarsal bone of digit 4
UBERON:0003654	metatarsal bone of digit 5
UBERON:0003655	molar tooth
UBERON:0003656	mesopodium bone
UBERON:0003657	limb joint
UBERON:0003658	hip muscle
UBERON:0003659	pedal digit muscle
UBERON:0003660	eyelid muscle
UBERON:0003661	limb muscle
UBERON:0003662	forelimb muscle
UBERON:0003663	hindlimb muscle
UBERON:0003664	manual digit muscle
UBERON:0003665	post-anal tail muscle
UBERON:0003666	upper jaw molar
UBERON:0003667	lower jaw molar
UBERON:0003668	synovial bursa
UBERON:0003669	fascia lata
UBERON:0003670	smegma
UBERON:0003671	anterior cruciate ligament of knee joint
UBERON:0003672	dentition
UBERON:0003673	ligamentum flavum
UBERON:0003674	cuspid
UBERON:0003675	tooth crown
UBERON:0003676	patellar ligament
UBERON:0003677	tooth root
UBERON:0003678	tooth apex
UBERON:0003679	mouth floor
UBERON:0003680	posterior cruciate ligament of knee joint
UBERON:0003681	masticatory muscle
UBERON:0003682	palatal muscle
UBERON:0003683	rotator cuff
UBERON:0003684	abdominal cavity
UBERON:0003685	cranial suture
UBERON:0003686	tooth socket
UBERON:0003687	foramen magnum
UBERON:0003688	omentum
UBERON:0003689	sella turcica
UBERON:0003690	fused sacrum
UBERON:0003691	epidural space
UBERON:0003692	acromioclavicular joint
UBERON:0003693	retroperitoneal space
UBERON:0003694	atlanto-axial joint
UBERON:0003695	metacarpophalangeal joint
UBERON:0003696	metatarsophalangeal joint
UBERON:0003697	abdominal wall
UBERON:0003698	subtalar joint
UBERON:0003699	pubic symphysis
UBERON:0003700	temporomandibular joint
UBERON:0003701	calcaneal tendon
UBERON:0003702	inguinal canal
UBERON:0003703	extrahepatic bile duct
UBERON:0003704	intrahepatic bile duct
UBERON:0003705	Meckel's diverticulum
UBERON:0003706	laryngeal vocal fold
UBERON:0003707	sinus of Valsalva
UBERON:0003708	carotid sinus
UBERON:0003709	circle of Willis
UBERON:0003710	vasa vasorum
UBERON:0003711	brachiocephalic vein
UBERON:0003712	cavernous sinus
UBERON:0003713	splenic vein
UBERON:0003714	neural tissue
UBERON:0003715	splanchnic nerve
UBERON:0003716	recurrent laryngeal nerve
UBERON:0003718	muscle spindle
UBERON:0003719	Pacinian corpuscle
UBERON:0003720	anterior cranial fossa
UBERON:0003721	lingual nerve
UBERON:0003722	middle cranial fossa
UBERON:0003723	vestibular nerve
UBERON:0003724	musculocutaneous nerve
UBERON:0003725	cervical nerve plexus
UBERON:0003726	thoracic nerve
UBERON:0003727	intercostal nerve
UBERON:0003728	mediastinum
UBERON:0003729	mouth mucosa
UBERON:0003820	prostate bud
UBERON:0003821	metapodium bone
UBERON:0003822	forelimb stylopod
UBERON:0003823	hindlimb zeugopod
UBERON:0003824	nerve of thoracic segment
UBERON:0003825	nerve of abdominal segment
UBERON:0003826	upper leg bone
UBERON:0003827	thoracic segment bone
UBERON:0003828	abdominal segment bone
UBERON:0003829	urethra muscle tissue
UBERON:0003830	thoracic segment muscle
UBERON:0003831	respiratory system muscle
UBERON:0003832	esophagus muscle
UBERON:0003833	abdominal segment muscle
UBERON:0003834	thoracic segment blood vessel
UBERON:0003835	abdominal segment blood vessel
UBERON:0003836	abdominal segment skin
UBERON:0003837	thoracic segment connective tissue
UBERON:0003838	abdominal segment connective tissue
UBERON:0003839	forelimb joint
UBERON:0003840	hindlimb joint
UBERON:0003841	autopod joint
UBERON:0003842	neural tube lumen
UBERON:0003843	dental epithelium
UBERON:0003844	upper eyelid epithelium
UBERON:0003845	lower eyelid epithelium
UBERON:0003846	thymus epithelium
UBERON:0003847	thyroid artery
UBERON:0003848	gonadal vein
UBERON:0003849	mesencephalic neural crest
UBERON:0003850	telencephalon neural crest
UBERON:0003851	diencephalon neural crest
UBERON:0003852	rhombencephalon neural crest
UBERON:0003853	spinal cord neural crest
UBERON:0003854	spinal cord neural plate
UBERON:0003855	gonad mesenchyme
UBERON:0003856	uncondensed odontogenic mesenchyme
UBERON:0003857	upper eyelid mesenchyme
UBERON:0003858	lower eyelid mesenchyme
UBERON:0003859	forelimb mesenchyme
UBERON:0003860	hindlimb mesenchyme
UBERON:0003861	neural arch
UBERON:0003862	pedal digit 4 phalanx
UBERON:0003863	pedal digit 5 phalanx
UBERON:0003864	middle phalanx of manus
UBERON:0003865	distal phalanx of manus
UBERON:0003866	middle phalanx of pes
UBERON:0003867	distal phalanx of pes
UBERON:0003868	proximal phalanx of pes
UBERON:0003869	presumptive ganglion
UBERON:0003876	hippocampal field
UBERON:0003881	CA1 field of hippocampus
UBERON:0003882	CA2 field of hippocampus
UBERON:0003883	CA3 field of hippocampus
UBERON:0003884	CA4 field of hippocampus
UBERON:0003885	mesometrium
UBERON:0003886	future coelemic cavity lumen
UBERON:0003887	intraembryonic coelom
UBERON:0003888	extraembryonic coelomic cavity
UBERON:0003889	fallopian tube
UBERON:0003890	Mullerian duct
UBERON:0003891	stroma
UBERON:0003893	capsule
UBERON:0003894	liver primordium
UBERON:0003895	hypaxial myotome region
UBERON:0003897	axial muscle
UBERON:0003898	skeletal muscle tissue of trunk
UBERON:0003900	epaxial myotome region
UBERON:0003901	horizontal septum
UBERON:0003902	retinal neural layer
UBERON:0003903	bursa of Fabricius
UBERON:0003904	bursal plica
UBERON:0003905	bursal follicle
UBERON:0003906	cardiac jelly
UBERON:0003907	left atrioventricular canal
UBERON:0003908	right atrioventricular canal
UBERON:0003909	sinusoid
UBERON:0003910	splenic sinusoid
UBERON:0003911	choroid plexus epithelium
UBERON:0003912	chitinous tooth
UBERON:0003913	tooth-like structure
UBERON:0003914	epithelial tube
UBERON:0003915	endothelial tube
UBERON:0003916	fat pad
UBERON:0003917	arthropod fat body
UBERON:0003918	kidney mesenchyme
UBERON:0003920	venous blood vessel
UBERON:0003921	pancreas primordium
UBERON:0003922	pancreatic epithelial bud
UBERON:0003923	dorsal pancreatic bud
UBERON:0003924	ventral pancreatic bud
UBERON:0003925	photoreceptor inner segment layer
UBERON:0003926	photoreceptor outer segment layer
UBERON:0003928	digestive system duct
UBERON:0003929	digestive tract epithelium
UBERON:0003930	atrioventricular canal endocardium
UBERON:0003931	diencephalic white matter
UBERON:0003932	cartilage element of chondrocranium
UBERON:0003933	cranial cartilage
UBERON:0003934	mesenchyme pectoral fin
UBERON:0003935	mesenchyme pelvic fin
UBERON:0003936	postoptic commissure
UBERON:0003937	reproductive gland
UBERON:0003938	sensory dissociation area
UBERON:0003939	transverse gyrus of Heschl
UBERON:0003941	cerebellum anterior vermis
UBERON:0003942	somatic sensory system
UBERON:0003943	fourth lumbar dorsal root ganglion
UBERON:0003945	somatic motor system
UBERON:0003946	placenta labyrinth
UBERON:0003947	brain ventricle/choroid plexus
UBERON:0003948	blood-air barrier
UBERON:0003949	tubal tonsil
UBERON:0003950	inner ear canal
UBERON:0003951	ocular fundus
UBERON:0003952	anterior stroma of cornea
UBERON:0003953	posterior stroma of cornea
UBERON:0003954	squamoparietal suture
UBERON:0003955	molar crown
UBERON:0003956	aqueous drainage system
UBERON:0003957	Bruch's membrane
UBERON:0003958	long bone epiphyseal ossification zone
UBERON:0003959	rete testis
UBERON:0003960	styloid process of temporal bone
UBERON:0003961	cingulum of brain
UBERON:0003962	pterygopalatine ganglion
UBERON:0003963	otic ganglion
UBERON:0003964	prevertebral ganglion
UBERON:0003965	sympathetic afferent fiber
UBERON:0003966	gonial bone
UBERON:0003967	cutaneous elastic tissue
UBERON:0003968	peripheral lymph node
UBERON:0003970	placental labyrinth vasculature
UBERON:0003971	interfrontal bone
UBERON:0003972	placenta junctional zone
UBERON:0003973	nasal concha of ethmoid bone
UBERON:0003974	upper part of vagina
UBERON:0003975	internal female genitalia
UBERON:0003976	saccule duct
UBERON:0003977	utricle duct
UBERON:0003978	valve
UBERON:0003979	utricle valve
UBERON:0003980	cerebellum fissure
UBERON:0003981	primordial ovarian follicle
UBERON:0003982	mature ovarian follicle
UBERON:0003983	conus arteriosus
UBERON:0003984	uterine tube infundibulum
UBERON:0003985	major sublingual duct
UBERON:0003986	minor sublingual duct
UBERON:0003987	Hassall's corpuscle
UBERON:0003988	thymus corticomedullary boundary
UBERON:0003989	medulla oblongata anterior median fissure
UBERON:0003990	spinal cord motor column
UBERON:0003991	fourth ventricle median aperture
UBERON:0003992	fourth ventricle lateral aperture
UBERON:0003993	interventricular foramen of CNS
UBERON:0003994	pelvic ligament
UBERON:0003995	subarcuate fossa
UBERON:0003996	cervical vertebra 1 arcus anterior
UBERON:0003997	hyoid bone greater horn
UBERON:0003998	hyoid bone lesser horn
UBERON:0003999	hyoid bone body
UBERON:0004000	tarsal gland acinus
UBERON:0004001	olfactory bulb layer
UBERON:0004002	posterior lobe of cerebellum
UBERON:0004003	cerebellum hemisphere lobule
UBERON:0004004	cerebellum lobule
UBERON:0004006	cerebellum intermediate zone
UBERON:0004008	cerebellar plate
UBERON:0004009	cerebellum posterior vermis
UBERON:0004010	primary muscle spindle
UBERON:0004011	secondary muscle spindle
UBERON:0004012	golgi tendon organ
UBERON:0004013	egg cylinder
UBERON:0004014	labium minora
UBERON:0004015	embryonic-extraembryonic boundary
UBERON:0004016	dermatome
UBERON:0004017	periocular mesenchyme
UBERON:0004019	baroreceptor
UBERON:0004021	spongiotrophoblast layer
UBERON:0004022	germinal neuroepithelium
UBERON:0004023	ganglionic eminence
UBERON:0004024	medial ganglionic eminence
UBERON:0004025	lateral ganglionic eminence
UBERON:0004026	caudal ganglionic eminence
UBERON:0004027	chorionic plate
UBERON:0004029	canal of Schlemm
UBERON:0004030	aqueous vein
UBERON:0004031	head ectomesenchyme
UBERON:0004032	podocyte slit diaphragm
UBERON:0004033	podocyte slit junction
UBERON:0004034	cutaneous microfibril
UBERON:0004035	cortical subplate
UBERON:0004040	cortical intermediate zone
UBERON:0004041	spleen primary B follicle
UBERON:0004042	spleen secondary B follicle
UBERON:0004043	semicircular canal ampulla
UBERON:0004044	anterior visceral endoderm
UBERON:0004045	tailgut
UBERON:0004046	anterior definitive endoderm
UBERON:0004047	basal cistern
UBERON:0004048	pontine cistern
UBERON:0004049	cerebellomedullary cistern
UBERON:0004050	subarachnoid cistern
UBERON:0004051	lateral cerebellomedullary cistern
UBERON:0004052	quadrigeminal cistern
UBERON:0004053	external male genitalia
UBERON:0004054	internal male genitalia
UBERON:0004055	primitive pit
UBERON:0004056	primitive groove
UBERON:0004057	skeletal muscle fiber triad
UBERON:0004058	biliary ductule
UBERON:0004059	spinal cord medial motor column
UBERON:0004060	neural tube ventricular layer
UBERON:0004061	neural tube mantle layer
UBERON:0004062	neural tube marginal layer
UBERON:0004063	spinal cord alar plate
UBERON:0004064	neural tube basal plate
UBERON:0004066	frontonasal prominence
UBERON:0004067	lateral nasal prominence
UBERON:0004068	medial nasal prominence
UBERON:0004069	accessory olfactory bulb
UBERON:0004070	cerebellum vermis lobule
UBERON:0004073	cerebellum interpositus nucleus
UBERON:0004074	cerebellum vermis lobule I
UBERON:0004075	cerebellum vermis lobule II
UBERON:0004076	cerebellum vermis lobule III
UBERON:0004077	cerebellum vermis lobule IV
UBERON:0004078	cerebellum vermis lobule IX
UBERON:0004079	cerebellum vermis lobule V
UBERON:0004080	cerebellum vermis lobule VI
UBERON:0004081	cerebellum vermis lobule VII
UBERON:0004082	cerebellum vermis lobule VIII
UBERON:0004083	cerebellum vermis lobule X
UBERON:0004084	genital labium
UBERON:0004085	labium majora
UBERON:0004086	brain ventricle
UBERON:0004087	vena cava
UBERON:0004088	orbital region
UBERON:0004089	midface
UBERON:0004090	periorbital region
UBERON:0004092	hypothalamus-pituitary axis
UBERON:0004096	odontoid process of cervical vertebra 2
UBERON:0004098	tibial plateaux
UBERON:0004099	joint space of elbow
UBERON:0004100	renal collecting system
UBERON:0004101	nasolabial region
UBERON:0004103	alveolar ridge
UBERON:0004104	hairline
UBERON:0004105	subungual region
UBERON:0004106	crus of ear
UBERON:0004108	clivus of occipital bone
UBERON:0004109	cortex of humerus
UBERON:0004110	midnasal cavity
UBERON:0004111	anatomical conduit
UBERON:0004113	muscle of auditory ossicle
UBERON:0004114	tympanic cavity
UBERON:0004115	blood vessel of tympanic cavity
UBERON:0004116	nerve of tympanic cavity
UBERON:0004117	pharyngeal pouch
UBERON:0004118	vasculature of iris
UBERON:0004119	endoderm-derived structure
UBERON:0004120	mesoderm-derived structure
UBERON:0004121	ectoderm-derived structure
UBERON:0004122	genitourinary system
UBERON:0004123	myocardial layer
UBERON:0004124	myocardium trabecular layer
UBERON:0004125	myocardial compact layer
UBERON:0004126	trabecular layer of ventricle
UBERON:0004127	compact layer of ventricle
UBERON:0004128	optic vesicle
UBERON:0004129	growth plate cartilage
UBERON:0004130	cerebellar layer
UBERON:0004132	trigeminal sensory nucleus
UBERON:0004133	salivatory nucleus
UBERON:0004134	proximal tubule
UBERON:0004135	distal tubule
UBERON:0004136	intermediate tubule
UBERON:0004138	somitomeric trunk muscle
UBERON:0004139	cardiogenic plate
UBERON:0004140	primary heart field
UBERON:0004141	heart tube
UBERON:0004142	outflow tract septum
UBERON:0004145	outflow tract
UBERON:0004146	His-Purkinje system
UBERON:0004148	cardiac vein
UBERON:0004149	ventriculo bulbo valve
UBERON:0004150	coronary sinus valve
UBERON:0004151	cardiac chamber
UBERON:0004152	bulbus arteriosus
UBERON:0004153	ventricular septum intermedium
UBERON:0004154	atrial septum primum
UBERON:0004155	atrial septum secundum
UBERON:0004159	atrial septum intermedium
UBERON:0004160	proepicardium
UBERON:0004161	septum transversum
UBERON:0004162	pulmonary myocardium
UBERON:0004163	anterior ectodermal midgut
UBERON:0004164	branchiomeric muscle
UBERON:0004166	superior reticular formation
UBERON:0004167	orbitofrontal cortex
UBERON:0004170	spinal cord ventral commissure
UBERON:0004171	trigeminothalamic tract
UBERON:0004172	pons reticulospinal tract
UBERON:0004173	medulla reticulospinal tract
UBERON:0004175	internal genitalia
UBERON:0004176	external genitalia
UBERON:0004177	hemopoietic organ
UBERON:0004178	aorta smooth muscle tissue
UBERON:0004179	prostate glandular acinus
UBERON:0004180	mammary gland fat
UBERON:0004182	mammary gland cord
UBERON:0004183	placental labyrinth blood vessel
UBERON:0004184	prostate gland stroma
UBERON:0004185	endodermal part of digestive tract
UBERON:0004186	olfactory bulb mitral cell layer
UBERON:0004187	Harderian gland
UBERON:0004188	glomerular epithelium
UBERON:0004189	glomerular endothelium
UBERON:0004190	renal glomerulus vasculature
UBERON:0004193	loop of Henle ascending limb thin segment
UBERON:0004194	long nephron
UBERON:0004195	short nephron
UBERON:0004196	proximal convoluted tubule segment 1
UBERON:0004197	proximal convoluted tubule segment 2
UBERON:0004198	comma-shaped body
UBERON:0004199	S-shaped body
UBERON:0004200	kidney pyramid
UBERON:0004201	kidney outer medulla inner stripe
UBERON:0004202	kidney outer medulla outer stripe
UBERON:0004203	cortical collecting duct
UBERON:0004204	outer medullary collecting duct
UBERON:0004205	inner medullary collecting duct
UBERON:0004206	long descending thin limb bend
UBERON:0004207	prebend segment of loop of Henle
UBERON:0004208	nephrogenic mesenchyme
UBERON:0004209	renal vesicle
UBERON:0004211	nephron epithelium
UBERON:0004212	glomerular capillary
UBERON:0004214	upper leg nerve
UBERON:0004215	back nerve
UBERON:0004216	lower arm nerve
UBERON:0004217	upper arm nerve
UBERON:0004218	lower leg nerve
UBERON:0004219	urethra smooth muscle layer
UBERON:0004220	large intestine smooth muscle
UBERON:0004221	intestine smooth muscle
UBERON:0004222	stomach smooth muscle
UBERON:0004223	vagina smooth muscle
UBERON:0004224	muscular coat of vas deferens
UBERON:0004225	respiratory system smooth muscle
UBERON:0004226	gastrointestinal system smooth muscle
UBERON:0004227	kidney pelvis smooth muscle
UBERON:0004228	urinary bladder smooth muscle
UBERON:0004229	urinary bladder trigone smooth muscle
UBERON:0004230	urinary bladder neck smooth muscle
UBERON:0004231	anal region smooth muscle
UBERON:0004232	lymphatic vessel smooth muscle
UBERON:0004233	lower respiratory tract smooth muscle
UBERON:0004234	iris smooth muscle
UBERON:0004235	mammary gland smooth muscle
UBERON:0004236	arteriole smooth muscle
UBERON:0004237	blood vessel smooth muscle
UBERON:0004238	spleen smooth muscle
UBERON:0004239	small intestine smooth muscle
UBERON:0004240	gall bladder smooth muscle
UBERON:0004241	main bronchus smooth muscle
UBERON:0004242	bronchus smooth muscle
UBERON:0004243	prostate gland smooth muscle
UBERON:0004245	oviduct smooth muscle
UBERON:0004246	outflow tract smooth muscle
UBERON:0004247	bone of dorsum
UBERON:0004248	pedal digit bone
UBERON:0004249	manual digit bone
UBERON:0004250	upper arm bone
UBERON:0004251	hindlimb zeugopod bone
UBERON:0004252	hindlimb stylopod muscle
UBERON:0004253	skin muscle
UBERON:0004254	forelimb zeugopod muscle
UBERON:0004255	forelimb stylopod muscle
UBERON:0004256	hindlimb zeugopod muscle
UBERON:0004257	upper leg blood vessel
UBERON:0004258	back blood vessel
UBERON:0004259	lower arm blood vessel
UBERON:0004260	upper arm blood vessel
UBERON:0004261	lower leg blood vessel
UBERON:0004262	upper leg skin
UBERON:0004263	upper arm skin
UBERON:0004264	lower leg skin
UBERON:0004265	outflow tract myocardium
UBERON:0004266	upper leg connective tissue
UBERON:0004267	back connective tissue
UBERON:0004268	lower arm connective tissue
UBERON:0004269	upper arm connective tissue
UBERON:0004270	lower leg connective tissue
UBERON:0004271	outflow tract pericardium
UBERON:0004273	cartilaginous joint suture
UBERON:0004274	lateral ventricle choroid plexus epithelium
UBERON:0004275	third ventricle choroid plexus epithelium
UBERON:0004276	fourth ventricle choroid plexus epithelium
UBERON:0004277	eye muscle
UBERON:0004288	skeleton
UBERON:0004289	radula
UBERON:0004290	dermomyotome
UBERON:0004291	heart rudiment
UBERON:0004292	cardiac skeleton
UBERON:0004293	parasympathetic nerve
UBERON:0004294	glomerular capillary endothelium
UBERON:0004295	sympathetic nerve trunk
UBERON:0004296	respiratory system lymphatic vessel smooth muscle
UBERON:0004297	respiratory system blood vessel smooth muscle
UBERON:0004300	distal phalanx
UBERON:0004301	middle phalanx
UBERON:0004302	proximal phalanx
UBERON:0004311	distal phalanx of manual digit 2
UBERON:0004312	distal phalanx of manual digit 3
UBERON:0004313	distal phalanx of manual digit 4
UBERON:0004314	distal phalanx of manual digit 5
UBERON:0004315	distal phalanx of pedal digit 1
UBERON:0004316	distal phalanx of pedal digit 2
UBERON:0004317	distal phalanx of pedal digit 3
UBERON:0004318	distal phalanx of pedal digit 4
UBERON:0004319	distal phalanx of pedal digit 5
UBERON:0004320	middle phalanx of manual digit 2
UBERON:0004321	middle phalanx of manual digit 3
UBERON:0004322	middle phalanx of manual digit 4
UBERON:0004323	middle phalanx of manual digit 5
UBERON:0004324	middle phalanx of pedal digit 2
UBERON:0004325	middle phalanx of pedal digit 3
UBERON:0004326	middle phalanx of pedal digit 4
UBERON:0004327	middle phalanx of pedal digit 5
UBERON:0004328	proximal phalanx of manual digit 2
UBERON:0004329	proximal phalanx of manual digit 3
UBERON:0004330	proximal phalanx of manual digit 4
UBERON:0004331	proximal phalanx of manual digit 5
UBERON:0004332	proximal phalanx of pedal digit 1
UBERON:0004333	proximal phalanx of pedal digit 2
UBERON:0004334	proximal phalanx of pedal digit 3
UBERON:0004335	proximal phalanx of pedal digit 4
UBERON:0004336	proximal phalanx of pedal digit 5
UBERON:0004337	distal phalanx of manual digit 1
UBERON:0004338	proximal phalanx of manual digit 1
UBERON:0004339	vault of skull
UBERON:0004340	allantois
UBERON:0004341	primitive streak
UBERON:0004344	cardinal vein
UBERON:0004345	trophectoderm
UBERON:0004346	gubernaculum (male or female)
UBERON:0004347	limb bud
UBERON:0004348	optic eminence
UBERON:0004353	female inguinal canal
UBERON:0004354	male inguinal canal
UBERON:0004356	apical ectodermal ridge
UBERON:0004357	paired limb/fin bud
UBERON:0004358	caput epididymis
UBERON:0004359	corpus epididymis
UBERON:0004360	cauda epididymis
UBERON:0004361	stylohyoid ligament
UBERON:0004362	pharyngeal arch 1
UBERON:0004363	pharyngeal arch artery
UBERON:0004364	ectoplacental cone
UBERON:0004365	vitelline blood vessel
UBERON:0004366	extraembryonic ectoderm
UBERON:0004367	Descemet's membrane
UBERON:0004368	Reichert's cartilage
UBERON:0004369	Reichert's membrane
UBERON:0004370	anterior limiting lamina of cornea
UBERON:0004374	vitelline vasculature
UBERON:0004375	bone of free limb or fin
UBERON:0004376	fin bone
UBERON:0004377	distal metaphysis
UBERON:0004378	proximal metaphysis
UBERON:0004379	distal epiphysis
UBERON:0004380	proximal epiphysis
UBERON:0004381	skeleton of limb
UBERON:0004382	epiphysis of humerus
UBERON:0004383	epiphysis of tibia
UBERON:0004384	epiphysis of femur
UBERON:0004385	epiphysis of radius
UBERON:0004386	epiphysis of ulna
UBERON:0004387	epiphysis of phalanx of manus
UBERON:0004388	epiphysis of fibula
UBERON:0004389	epiphysis of metatarsal bone
UBERON:0004390	epiphysis of metacarpal bone
UBERON:0004391	epiphysis of first metacarpal bone
UBERON:0004392	epiphysis of second metacarpal bone
UBERON:0004393	epiphysis of third metacarpal bone
UBERON:0004394	epiphysis of fourth metacarpal bone
UBERON:0004395	epiphysis of first metatarsal bone
UBERON:0004396	epiphysis of second metatarsal bone
